TrainCode,TrainDate,TrainOrigin,TrainDestination,scheduled_hour,scheduled_minute,day_of_week,arrival_delay_minutes
A911,12 Apr 2025,Sligo,Dublin Connolly,18,18,5,1.1
A906,12 Apr 2025,Dublin Connolly,Sligo,0,0,5,729.4
P744,12 Apr 2025,Maynooth,Dublin Connolly,9,32,5,-0.9
D913,12 Apr 2025,Dublin Connolly,Maynooth,0,0,5,710.8
P746,11 Apr 2025,Maynooth,Dublin Connolly,10,53,4,3.8
A606,11 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,4,805.8
E259,11 Apr 2025,Malahide,Bray,21,29,4,-0.3
E260,11 Apr 2025,Malahide,Bray,21,59,4,0.9
A910,11 Apr 2025,Dublin Connolly,Sligo,0,0,4,952.1
P745,11 Apr 2025,Maynooth,Dublin Connolly,9,24,4,0.2
A909,11 Apr 2025,Sligo,Dublin Connolly,16,27,4,2.0
D914,11 Apr 2025,Dublin Connolly,Maynooth,0,0,4,712.1
A908,11 Apr 2025,Dublin Connolly,Sligo,0,0,4,863.7
A911,11 Apr 2025,Sligo,Dublin Connolly,18,18,4,21.1
A906,11 Apr 2025,Dublin Connolly,Sligo,0,0,4,703.7
P744,11 Apr 2025,Maynooth,Dublin Connolly,8,33,4,-2.1
D913,11 Apr 2025,Dublin Connolly,Maynooth,0,0,4,685.6
P746,10 Apr 2025,Maynooth,Dublin Connolly,10,53,3,1.5
A606,10 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,3,804.1
E259,10 Apr 2025,Malahide,Bray,21,29,3,-1.0
E260,10 Apr 2025,Malahide,Bray,21,59,3,-2.3
A910,10 Apr 2025,Dublin Connolly,Sligo,0,0,3,936.7
P745,10 Apr 2025,Maynooth,Dublin Connolly,9,24,3,5.4
A909,10 Apr 2025,Sligo,Dublin Connolly,16,27,3,2.2
D914,10 Apr 2025,Dublin Connolly,Maynooth,0,0,3,713.0
A908,10 Apr 2025,Dublin Connolly,Sligo,0,0,3,878.3
A911,10 Apr 2025,Sligo,Dublin Connolly,18,18,3,23.6
A906,10 Apr 2025,Dublin Connolly,Sligo,0,0,3,689.6
P744,10 Apr 2025,Maynooth,Dublin Connolly,8,33,3,-2.3
D913,10 Apr 2025,Dublin Connolly,Maynooth,0,0,3,687.4
P746,09 Apr 2025,Maynooth,Dublin Connolly,10,53,2,4.4
A606,09 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,2,805.5
E259,09 Apr 2025,Malahide,Bray,21,29,2,3.9
E260,09 Apr 2025,Malahide,Bray,21,59,2,-1.4
A910,09 Apr 2025,Dublin Connolly,Sligo,0,0,2,952.4
P745,09 Apr 2025,Maynooth,Dublin Connolly,9,24,2,3.8
A909,09 Apr 2025,Sligo,Dublin Connolly,16,27,2,0.7
D914,09 Apr 2025,Dublin Connolly,Maynooth,0,0,2,714.7
A908,09 Apr 2025,Dublin Connolly,Sligo,0,0,2,882.2
A911,09 Apr 2025,Sligo,Dublin Connolly,18,18,2,14.7
A906,09 Apr 2025,Dublin Connolly,Sligo,0,0,2,757.3
P744,09 Apr 2025,Maynooth,Dublin Connolly,8,33,2,-1.7
D913,09 Apr 2025,Dublin Connolly,Maynooth,0,0,2,691.5
P746,08 Apr 2025,Maynooth,Dublin Connolly,10,53,1,1.4
A606,08 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,1,806.3
E259,08 Apr 2025,Malahide,Bray,21,29,1,-1.6
E260,08 Apr 2025,Malahide,Bray,21,59,1,1.9
A910,08 Apr 2025,Dublin Connolly,Sligo,0,0,1,895.3
P745,08 Apr 2025,Maynooth,Dublin Connolly,9,24,1,5.4
A909,08 Apr 2025,Sligo,Dublin Connolly,16,27,1,1.7
D914,08 Apr 2025,Dublin Connolly,Maynooth,0,0,1,728.0
A908,08 Apr 2025,Dublin Connolly,Sligo,0,0,1,897.1
A911,08 Apr 2025,Sligo,Dublin Connolly,18,18,1,6.3
A906,08 Apr 2025,Dublin Connolly,Sligo,0,0,1,754.5
P744,08 Apr 2025,Maynooth,Dublin Connolly,8,33,1,-1.9
D913,08 Apr 2025,Dublin Connolly,Maynooth,0,0,1,690.8
P746,07 Apr 2025,Maynooth,Dublin Connolly,10,53,0,2.2
A606,07 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,0,805.9
E259,07 Apr 2025,Malahide,Bray,21,29,0,-1.5
E260,07 Apr 2025,Malahide,Bray,21,59,0,0.2
A910,07 Apr 2025,Dublin Connolly,Sligo,0,0,0,934.0
P745,07 Apr 2025,Maynooth,Dublin Connolly,9,24,0,1.2
A909,07 Apr 2025,Sligo,Dublin Connolly,16,27,0,-0.4
D914,07 Apr 2025,Dublin Connolly,Maynooth,0,0,0,714.7
A908,07 Apr 2025,Dublin Connolly,Sligo,0,0,0,857.4
A911,07 Apr 2025,Sligo,Dublin Connolly,18,18,0,-1.3
A906,07 Apr 2025,Dublin Connolly,Sligo,0,0,0,730.0
P744,07 Apr 2025,Maynooth,Dublin Connolly,8,33,0,-0.9
D913,07 Apr 2025,Dublin Connolly,Maynooth,0,0,0,685.8
P746,06 Apr 2025,Maynooth,Dublin Connolly,16,54,6,-1.9
A606,06 Apr 2025,Dublin Connolly,Rosslare Europort,0,0,6,819.1
A910,06 Apr 2025,Dublin Connolly,Sligo,0,0,6,944.0
P745,06 Apr 2025,Maynooth,Dublin Connolly,16,27,6,0.9
A909,06 Apr 2025,Sligo,Dublin Connolly,16,13,6,0.8
D914,06 Apr 2025,Dublin Connolly,Maynooth,0,0,6,922.6
A908,06 Apr 2025,Dublin Connolly,Sligo,0,0,6,845.5
A911,06 Apr 2025,Sligo,Dublin Connolly,18,20,6,-0.8
A906,06 Apr 2025,Dublin Connolly,Sligo,0,0,6,733.9
